"Story","Title","Result","Date","Stability","Duration (s)"
"Actualizar y borrar información en la pagina Reqres","Actualizar informacion","SUCCESS","2022-01-05T16:16:47.689291-05:00[America/Bogota]","0.0","0.61"
"Actualizar y borrar información en la pagina Reqres","Borrar informacion","SUCCESS","2022-01-05T16:16:48.3026521-05:00[America/Bogota]","0.0","0.52"
